Up to date,Starred,Name,Test case,longitud extra pontones [mm],angulo tras [°],angulo del [°],Pressure Drop [Pa],Max. Velocity [m/s],Y Force 2 [N],Z Force 3 [N]
Solved,False,DV2,,0,"1,60618011413908E-13",0,"371,728271484375","89,2837905883789","5,08884572982788","1,27076840400696"
Solved,False,DV3,,0,0,"0,999999999999888","380,708740234375","84,9653549194336","5,23988485336304","0,946972548961639"
Solved,False,DV4,,0,0,"1,99999999999984","370,673583984375","83,9040069580078","5,09451580047607","1,08116924762726"
Solved,False,DV5,,0,0,"2,99999999999993","356,399169921875","83,8579559326172","5,09316778182983","1,14637362957001"
Solved,False,DV6,,0,0,"4,00000000000018","363,021484375","84,4892349243164","4,84605979919434","1,22706711292267"
Solved,False,DV7,,0,0,"5,00000000000001","354,821533203125","88,5745544433594","4,88838624954224","1,71281337738037"
Solved,False,DV8,,0,"0,999999999999962","2,38541601109764E-14","381,71435546875","91,3708343505859","5,15961647033691","1,36287868022919"
Solved,False,DV9,,0,1,"1,00000000000005","379,58154296875","85,508171081543","5,2099175453186","0,97914183139801"
Solved,False,DV10,,0,1,"2,0000000000001","368,90185546875","85,1124114990234","5,09487199783325","0,91460782289505"
Solved,False,DV11,,0,1,"3,00000000000009","357,25390625","83,9425354003906","5,15569162368774","1,06749212741852"
Solved,False,DV12,,0,1,"3,99999999999997","366,44677734375","83,5441055297852","4,89678192138672","1,08594918251038"
Solved,False,DV13,,0,1,"5,00000000000017","355,49658203125","88,5414123535156","4,89493322372437","1,65243792533875"
Solved,False,DV14,,0,"2,00000000000003",0,"376,6171875","89,3523178100586","5,09498834609985","0,88708484172821"
Solved,False,DV15,,0,2,"0,999999999999833","377,523681640625","84,5294647216797","5,15550994873047","0,722219586372375"
Solved,False,DV16,,0,2,"2,00000000000026","378,291748046875","84,9155197143555","5,14968776702881","0,627642691135406"
Solved,False,DV17,,0,2,"2,99999999999999","368,123779296875","84,4784698486328","5,10646295547485","0,997196078300476"
Solved,False,DV18,,0,2,"4,00000000000013","380,81787109375","84,2944259643555","4,95233917236328","0,912837564945221"
Solved,False,DV19,,0,2,"5,00000000000006","361,6435546875","88,5757446289063","4,89367723464966","1,37235248088837"
Solved,False,DV20,,0,"3,00000000000008",0,"383,890625","92,2563095092773","5,1895318031311","0,96376359462738"
Solved,False,DV21,,0,3,"0,999999999999833","379,892333984375","85,4024887084961","5,21823453903198","0,592805147171021"
Solved,False,DV22,,0,3,"1,99999999999978","374,33837890625","83,9838409423828","5,15701675415039","0,547129034996033"
Solved,False,DV23,,0,3,"3,00000000000025","368,127685546875","84,5176010131836","5,12449073791504","0,909170389175415"
